number_of_employees,tech_company,mental_health_benefits,mental_health_coverage_awareness,mental_health_official_communication,mental_health_resources,mental_health_anonymity,asking_for_leave_for_mental_health,discussing_mental_health_with_employer,discussing_physical_health_with_employer,discussing_mental_health_with_coworker,discussing_mental_health_with_supervisor,physical_same_mental,neg_consequences_open_mental_health,previous_employer,previous_employer_mental_health_benefits,previous_employer_mental_health_coverage_awareness,previous_employer_mental_health_official_communication,previous_employer_mental_health_resources,previous_employer_mental_health_anonymity,discussing_mental_health_with_previous_employer,discussing_physical_health_with_previous_employer,reveal_mental_diagnoses_previous_coworkers,reveal_mental_diagnoses_previous_supervisor,previous_employer_physical_same_mental,previous_employer_neg_consequences_open_mental_health,physical_health_interview,mental_health_interview,mental_health_career_impact,coworkers_perception_of_mental_health,share_mental_illness_loved_ones,current_or_previous_employment_unsupportive_response_mental_health,current_employment_less_likely_to_reveal_mental_health_issue,family_history_mental_health,past_history_mental_health,current_MH_disorder,at_any_point_diagnosed_MH_disorder,treatment_MH_disorder,interference_with_work_with_effective_treatment,interference_with_work_NOT_effective_treatment,gender,continent_residence,continent_work,work_position,remote_work,age_group
100-500,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No,Yes,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,No,Maybe,"Yes, I think they would",Not open at all,"Yes, I experienced",Maybe,No,Maybe,Maybe,No,No,Not applicable to me,Sometimes,Male,North America,North America,DevOps/SysAdmin|Back-end Developer|Front-end Developer,Sometimes,40-49
100-500,Yes,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,No,"No, it has not","No, they do not",Somewhat open,No,Missing,Yes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Male,North America,North America,Designer,Always,30-39
100-500,Yes,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,Yes,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Neutral,No,Missing,Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,Male,North America,North America,Other|Executive Leadership,Sometimes,50-59
26-100,Yes,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No,Yes,"No, none did","No, I only became aware later",None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,No,"Yes, it has","No, I don't think they would",Very open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,Yes,Sometimes,Often,Female,North America,North America,Front-end Developer,Always,30-39
500-1000,Yes,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No,Yes,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Back-end Developer,Never,30-39
100-500,No,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No,Yes,I don't know,N/A (not currently aware),None did,Some did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,Missing,Yes,Yes,Yes,Yes,Yes,Rarely,Sometimes,Male,North America,North America,Back-end Developer|Front-end Developer,Sometimes,30-39
6-25,Yes,No,Missing,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,Yes,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,Maybe/Not sure,Maybe,Yes,Maybe,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Back-end Developer,Sometimes,20-29
More than 1000,No,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No,Yes,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,Maybe,Maybe,Neutral,No,Missing,No,No,No,No,No,Not applicable to me,Not applicable to me,Male,North America,North America,Other,Never,30-39
26-100,Yes,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,No,Yes,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,Missing,I don't know,Maybe,No,No,No,Not applicable to me,Not applicable to me,Male,Europe,Europe,Back-end Developer,Sometimes,20-29
1-5,Yes,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No,Yes,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,No,Yes,Yes,Sometimes,Often,Male,North America,North America,Back-end Developer,Sometimes,30-39
